CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,"CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE",null
,,,,,,,,,galaxias,17-03-2026,23-03-2026,27,"['80019785', 'ΜΠΡΟΚΟΛΟ ΠΑΓΟΥ ΕΓΧΩΡΙΟ', '3.2', '3.2']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,28,"['397207', 'ΠΙΠΕΡΙΕΣ ΠΡΑΣΙΝΕΣ ΕΓΧΩΡΙΕΣ', '4.52', '4.52']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,28.1,"['80013506', 'ΠΙΠΕΡΙΕΣ ΝΤΟΛΜΑ ΕΓΧΩΡΙΕΣ ΚΙΛ', '4.4', '4.4']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,28.2,"['397206', ""ΠΙΠΕΡΙΕΣ ΚΕΡΑΤΑ Α' ΕΓΧΩΡΙΕΣ"", '4.45', '4.45']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,29,"['397263', 'ΜΕΛΙΤΖΑΝΕΣ ΦΛΑΣΚΕΣ ΕΓΧΩΡΙΕΣ', '3.85', '3.85']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,30,"['397148', 'ΜΑΙΝΤΑΝΟΣ ΕΓΧΩΡΙΟΣ ΤΕΜ', '0.7', '0.7']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,31,"['397015', 'ΑΝΙΘΑ ΕΓΧΩΡΙΑ ΤΕΜΑΧΙΟ', '0.8', '0.8']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,32,"['80023018', 'ΣΕΛΙΝΟ ΕΓΧΩΡΙΑ ΤΕΜΑΧΙΟ', '0.6', '0.6']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,33,"['397260', 'ΦΑΣΟΛΙΑ ΜΠΑΡΜΠΟΥΝΙΑ ΕΓΧΩΡΙΑ', '3.95', '3.95']"
1,1044,Σταφύλια  (Σε επιλεγμένα καταστήματα),5.99,5.99,1044.jpg,Φρούτα,Kg,,kritikos,17-03-2026,23-03-2026,,
2,1140,Λεμόνια,1.96,2.09,1140.jpg,Φρούτα,Kg,,kritikos,17-03-2026,23-03-2026,,
3,1000,Μπανάνες,1.49,2.29,1000.jpg,Φρούτα,Kg,,kritikos,17-03-2026,23-03-2026,,
4,1005,Πορτοκάλια ,0.99,0.99,1005.jpg,Φρούτα,Kg,,kritikos,17-03-2026,23-03-2026,,
5,81022265,Μανταρίνια  (Σε επιλεγμένα καταστήματα),3.15,3.15,81022265.jpg,Φρούτα,Kg,,kritikos,17-03-2026,23-03-2026,,
6,1032,Αχλάδια,2.40,2.59,1032.jpg,Φρούτα,Kg,,kritikos,17-03-2026,23-03-2026,,
7,1159,Μήλα,2.18,2.18,1159.jpg,Φρούτα,Kg,,kritikos,17-03-2026,23-03-2026,,
7.1,1053,Μήλα Golden Delicious,1.99,2.19,1053.jpg,Φρούτα,Kg,,kritikos,17-03-2026,23-03-2026,,
7.2,1057,Μήλα Granny Smith ,1.97,2.09,1057.jpg,Φρούτα,Kg,,kritikos,17-03-2026,23-03-2026,,
7.3,1006,Μήλα Starkin Delicious,1.95,2.09,1006.jpg,Φρούτα,Kg,,kritikos,17-03-2026,23-03-2026,,
8,1082,Ρόδια,6.68,6.88,1082.jpg,Φρούτα,Kg,,kritikos,17-03-2026,23-03-2026,,
9,1476,Μανιτάρια,4.90,5.54,1476.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
10,1058,Αγκινάρες  (Σε επιλεγμένα καταστήματα),3.50,3.80,1058.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
11,1009,Τομάτες,2.78,2.85,1009.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
12,718070,Τοματίνια,9.10,9.70,718070.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
13,1004,Αγγούρια,1.18,2.14,1004.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
14,1025,Κολοκύθια,2.23,2.95,1025.jpg,Λαχανικά,kg,,kritikos,17-03-2026,23-03-2026,,
15,1002,Μαρούλια  (Σε επιλεγμένα καταστήματα),1.93,1.92,1002.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
16,863566,Ρόκα,10.90,11.00,863566.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
17,1014,Πατάτες,0.85,0.85,1014.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
17.1,1848,Πατάτες Κύπρου,1.36,1.55,1848.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
17.2,705876,Πατάτες εγχώριες  (Σε επιλεγμένα καταστήματα),1.68,1.73,705876.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
17.3 ,1849,Πατάτες εισαγωγής,1.86,1.98,1849.jpg,,,,kritikos,17-03-2026,23-03-2026,,
18,718769,Σκόρδα (κομμάτι),7.45,7.95,718769.jpg,Λαχανικά,τμχ.,,kritikos,17-03-2026,23-03-2026,,
19,1041,Κρεμμύδια ξερά,0.77,0.79,1041.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
20,1001,Κρεμμύδια φρέσκα,3.31,3.99,1001.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
21,1043,Σπανάκι,1.95,2.03,1043.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
22,1059,Παντζάρια,1.39,1.48,1059.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
23,702639,Καρότα,1.10,1.20,702639.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
25,1019,Λάχανα,0.42,0.49,1019.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
26,1036,Κουνουπίδια,2.55,2.69,1036.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
27,1052,Μπρόκολο,3.20,3.49,1052.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
28,1008,Πιπεριές,3.78,3.89,1008.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
28.1,1325,Πιπεριές χονδρές  (Σε επιλεγμένα καταστήματα),4.99,4.99,1325.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
28.2,1131,Πιπεριές μακριές  (Σε επιλεγμένα καταστήματα),4.99,4.99,1131.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
29,1027,Μελιτζάνες,3.99,3.99,1027.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
30,1030,Μαϊντανός,3.16,4.03,1030.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
31,1024,’νηθος,6.63,6.63,1024.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
32,1023,Σέλινο,2.74,2.80,1023.jpg,Λαχανικά,Kg,,kritikos,17-03-2026,23-03-2026,,
2,80160,Λεμόνια,"1,59","2,18",Lemoni.png,Φρούτα,Kg,,lidl,17-03-2026,23-03-2026,,
3,80000,Μπανάνες,"1,19","1,85",Banana.png,Φρούτα,Kg,,lidl,17-03-2026,23-03-2026,,
4,80141,Πορτοκάλια,"0,92","1,48",Portokali-dixty.png,Φρούτα,Kg,,lidl,17-03-2026,23-03-2026,,
5,80088,Μανταρίνια,"1,39","3,39",Mantarini-dixty.png,Φρούτα,Kg,,lidl,17-03-2026,23-03-2026,,
6,80281,Αχλάδια,"2,19","2,39",Axladia-krystalia.png,Φρούτα,Kg,,lidl,17-03-2026,23-03-2026,,
7.1,80185,Μήλα Golden Delicious,"1,95","1,95",Milo-gold.png,Φρούτα,Kg,,lidl,17-03-2026,23-03-2026,,
7.2,80190,Μήλα Granny Smith,"1,59","1,95",Milo-grannysmith-dixty.png,Φρούτα,Kg,,lidl,17-03-2026,23-03-2026,,
7.3,80228,Μήλα Starkin Delicious,"1,13","2,55",Milo-starkin.png,Φρούτα,Kg,,lidl,17-03-2026,23-03-2026,,
7.4,80250,Μήλα Gala,0,0,Milo-gala.png,Φρούτα,Kg,,lidl,17-03-2026,23-03-2026,,
9,83018,Μανιτάρια,"3,82","5,48",Manitari-leyko.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
11,82415,Τομάτες,"1,48","5,58",Tomata-beef.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
12,82411,Τοματίνια,"5,95","7,9",tomatini-kouvadaki.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
13,82231,Αγγούρια,2,"3,25",Aggouri.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
14,82345,Κολοκύθια,"2,95","2,95",Kolokythi.png,Λαχανικά,kg,,lidl,17-03-2026,23-03-2026,,
15,82126,Μαρούλια,"3,27","3,27",Marouli.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
17.1,83165,Πατάτες Κύπρου,"1,29","1,54",Patata-Kyprou.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
17.2,83155,Πατάτες εγχώριες,"0,63","1,97",Patata.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
18,82706,Σκόρδα (κομμάτι),9,"11,6",Skordo.png,Λαχανικά,τμχ.,,lidl,17-03-2026,23-03-2026,,
19,83345,Κρεμμύδια ξερά,"0,88","1,2",Kremmydi-kokkino.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
20,82236,Κρεμμύδια φρέσκα,"6,4","6,4",Kremmydaki-fresko.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
22,82815,Παντζάρια,"1,39","1,39",Pantzari.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
23,82755,Καρότα,"0,7","0,82",Karoto.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
24,82273,Ραπανάκια,"4,76","4,76",Rapanakia.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
25,82955,Λάχανα,"0,45","0,94",Laxano-aspro.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
26,82875,Κουνουπίδια,"1,65","1,65",Kounoupidi.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
27,82895,Μπρόκολο,"3,19","3,5",Mprokolo.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
28.1,82580,Πιπεριές χονδρές,"3,79","4,49",Piperia-xanthi.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
28.2,82535,Πιπεριές μακριές,"3,79","4,78",Piperia-kerato.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
29,82180,Μελιτζάνες,"3,89","3,89",Melitzana.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
30,83096,Μαϊντανός,"2,88","2,88",Maintanos-matsaki.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
31,83080,Άνηθος,"2,88","2,88",Anithos-matsaki.png,Λαχανικά,Kg,,lidl,17-03-2026,23-03-2026,,
1,520011772,Σταφύλια,4.45,5.99,3152428_1.jpg,Φρούτα,Kg,,masoutis,17-03-2026,23-03-2026,,
2,210649000,Λεμόνια,1.85,1.85,0317826_1.jpg,Φρούτα,Kg,,masoutis,17-03-2026,23-03-2026,,
3,219851600,Μπανάνες,1.32,1.85,0317990_1.jpg,Φρούτα,Kg,,masoutis,17-03-2026,23-03-2026,,
4,210651800,Πορτοκάλια Βαλέντσια,1.02,1.13,3274826_1.jpg,Φρούτα,Kg,,masoutis,17-03-2026,23-03-2026,,
6,210695600,Αχλάδια,2.4,2.98,0532788_1.jpg,Φρούτα,Kg,,masoutis,17-03-2026,23-03-2026,,
