product_id,name,date,unit,category_name,category_codes,monimi_meiosi,promo,supplier_name,supplier_code,merchant,price
1602,ΜΠΟΥΤΙ ΧΟΙΡ. ΕΛΛΗΝΙΚΟ ΝΩΠΟ Α/Ο(ΤΙΜΗ ΚΙΛ),27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Μπριζόλες χοιρινές","[410, 421, 422]",False,False,Ν/Α,302.0,xalkiadakis,7.6
1602,ΜΠΟΥΤΙ ΧΟΙΡ. ΕΛΛΗΝΙΚΟ ΝΩΠΟ Α/Ο(ΤΙΜΗ ΚΙΛ),27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Μπριζόλες χοιρινές","[410, 421, 422]",False,False,Ν/Α,302.0,marketin,5.99
1602,ΜΠΟΥΤΙ ΧΟΙΡ. ΕΛΛΗΝΙΚΟ ΝΩΠΟ Α/Ο(ΤΙΜΗ ΚΙΛ),27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Μπριζόλες χοιρινές","[410, 421, 422]",False,False,Ν/Α,302.0,synka,5.8
1702,ΣΠΑΛΑ ΒΟΕΙΟΥ ΓΕΡΜΑΝ. ΝΩΠΗ Α/Ο (ΤΙΜ. ΚΙΛ).,27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Σπάλα χοιρινή","[410, 421, 423]",False,False,Ν/Α,302.0,marketin,14.95
1702,ΣΠΑΛΑ ΒΟΕΙΟΥ ΓΕΡΜΑΝ. ΝΩΠΗ Α/Ο (ΤΙΜ. ΚΙΛ).,27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Σπάλα χοιρινή","[410, 421, 423]",False,False,Ν/Α,302.0,synka,14.2
1704,ΒΟΕΙΟΝ ΣΠΑΛΑ ΕΛΛΗΝΙΚΟ Α/Ο(ΚΙΛΟ)ΝΩΠΟ,27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Σπάλα χοιρινή","[410, 421, 423]",False,False,Ν/Α,302.0,xalkiadakis,14.2
1704,ΒΟΕΙΟΝ ΣΠΑΛΑ ΕΛΛΗΝΙΚΟ Α/Ο(ΚΙΛΟ)ΝΩΠΟ,27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Σπάλα χοιρινή","[410, 421, 423]",False,False,Ν/Α,302.0,synka,14.2
1802,ΚΙΛΟΤΟ ΒΟΕΙΟΥ ΓΕΡΜΑΝΙΑΣ ΝΩΠΟ Α/Ο(Τ. ΚΙΛ),27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Μοσχάρι, Φιλέτο μοσχαρίσιο","[410, 418, 419]",False,False,Ν/Α,302.0,marketin,16.49
1804,ΒΟΕΙΟΝ ΚΙΛΟΤΟ ΕΛΛΗΝΙΚΟ ΝΩΠΟ,27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Μοσχάρι, Φιλέτο μοσχαρίσιο","[410, 418, 419]",False,False,Ν/Α,302.0,xalkiadakis,15.9
1804,ΒΟΕΙΟΝ ΚΙΛΟΤΟ ΕΛΛΗΝΙΚΟ ΝΩΠΟ,27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Μοσχάρι, Φιλέτο μοσχαρίσιο","[410, 418, 419]",False,False,Ν/Α,302.0,synka,16.2
1902,ΣΤΗΘΟΣ-ΛΑΠΑ ΒΟΕΙΟΥ ΓΕΡΜΑΝΙΑΣ Α/Ο (Τ. Κ. ),27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Μοσχάρι, Σπάλα, Χτένι & Ελιά μοσχαρίσια","[410, 418, 420]",False,False,Ν/Α,302.0,marketin,12.9
1903,ΒΟΕΙΟΝ ΛΑΠΑ ΕΛΛΗΝΙΚΟ ΝΩΠΟ,27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Μοσχάρι, Σπάλα, Χτένι & Ελιά μοσχαρίσια","[410, 418, 420]",False,False,Ν/Α,302.0,synka,11.5
2002,ΕΛΙΑ ΒΟΕΙΟΥ ΓΕΡΜΑΝΙΑΣ ΝΩΠΗ Α/Ο(ΤΙΜ. ΚΙΛ. ),27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Μοσχάρι, Σπάλα, Χτένι & Ελιά μοσχαρίσια","[410, 418, 420]",False,False,Ν/Α,302.0,marketin,14.95
2002,ΕΛΙΑ ΒΟΕΙΟΥ ΓΕΡΜΑΝΙΑΣ ΝΩΠΗ Α/Ο(ΤΙΜ. ΚΙΛ. ),27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Μοσχάρι, Σπάλα, Χτένι & Ελιά μοσχαρίσια","[410, 418, 420]",False,False,Ν/Α,302.0,synka,14.1
2004,ΒΟΕΙΟΝ ΕΛΙΑ ΕΛΛΗΝΙΚΟ Α/Ο (ΚΙΛΟ)ΝΩΠΟ,27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Μοσχάρι, Σπάλα, Χτένι & Ελιά μοσχαρίσια","[410, 418, 420]",False,False,Ν/Α,302.0,xalkiadakis,14.2
2004,ΒΟΕΙΟΝ ΕΛΙΑ ΕΛΛΗΝΙΚΟ Α/Ο (ΚΙΛΟ)ΝΩΠΟ,27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Μοσχάρι, Σπάλα, Χτένι & Ελιά μοσχαρίσια","[410, 418, 420]",False,False,Ν/Α,302.0,synka,14.2
2102,ΜΕΛΙΤΖΑΝΑ ΦΛΑΣΚΑ ΕΓΧΩΡΙΑ (ΤΙΜΗ ΚΙΛΟΥ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Μελιτζάνες, Κολοκύθια, Πιπεριές","[393, 396, 398]",False,False,Ν/Α,302.0,xalkiadakis,1.4
2102,ΜΕΛΙΤΖΑΝΑ ΦΛΑΣΚΑ ΕΓΧΩΡΙΑ (ΤΙΜΗ ΚΙΛΟΥ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Μελιτζάνες, Κολοκύθια, Πιπεριές","[393, 396, 398]",False,False,Ν/Α,302.0,efresh,3.0833333333333
2102,ΜΕΛΙΤΖΑΝΑ ΦΛΑΣΚΑ ΕΓΧΩΡΙΑ (ΤΙΜΗ ΚΙΛΟΥ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Μελιτζάνες, Κολοκύθια, Πιπεριές","[393, 396, 398]",False,False,Ν/Α,302.0,marketin,1.6
2102,ΜΕΛΙΤΖΑΝΑ ΦΛΑΣΚΑ ΕΓΧΩΡΙΑ (ΤΙΜΗ ΚΙΛΟΥ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Μελιτζάνες, Κολοκύθια, Πιπεριές","[393, 396, 398]",False,False,Ν/Α,302.0,synka,1.58
2201,ΛΕΜΟΝΙΑ ΧΥΜΑ ΕΓΧ. ΠΟΙΟΤΗΤΑ Α'(TIMH ΚΙΛ. ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Φρούτα, Πορτοκάλια, Μανταρίνια, Λεμόνια & άλλα Εσπεριδοειδή","[393, 403, 404]",False,False,Ν/Α,302.0,xalkiadakis,1.15
2201,ΛΕΜΟΝΙΑ ΧΥΜΑ ΕΓΧ. ΠΟΙΟΤΗΤΑ Α'(TIMH ΚΙΛ. ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Φρούτα, Πορτοκάλια, Μανταρίνια, Λεμόνια & άλλα Εσπεριδοειδή","[393, 403, 404]",False,False,Ν/Α,302.0,efresh,2.49
2201,ΛΕΜΟΝΙΑ ΧΥΜΑ ΕΓΧ. ΠΟΙΟΤΗΤΑ Α'(TIMH ΚΙΛ. ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Φρούτα, Πορτοκάλια, Μανταρίνια, Λεμόνια & άλλα Εσπεριδοειδή","[393, 403, 404]",False,False,Ν/Α,302.0,synka,1.59
2202,ZAROS ΝΕΡΟ 1500ML 6ΑΔΑ PVC (Φ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Φρούτα, Πορτοκάλια, Μανταρίνια, Λεμόνια & άλλα Εσπεριδοειδή","[393, 403, 404]",False,False,ZAROS,484.0,marketin,2.49
2202,ZAROS ΝΕΡΟ 1500ML 6ΑΔΑ PVC (Φ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Φρούτα, Πορτοκάλια, Μανταρίνια, Λεμόνια & άλλα Εσπεριδοειδή","[393, 403, 404]",False,False,ZAROS,484.0,synka,2.35
2301,ΠΑΤΑΤΕΣ ΚΡΗΤΗΣ ΔΙΧΤΥ(ΚΙΛΟ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Πατάτες, Γλυκοπατάτες, Κολοκάσια, Γιαμ","[393, 396, 402]",False,False,Ν/Α,302.0,xalkiadakis,0.88
