CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,ΚΑΤΗΓΟΡΙΑ,PRICE
,397004,ΑΓΓΟΥΡΙΑ Α' ΕΓΧΩΡΙΑ ΤΕΜ ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,13,0.42
,397110,ΚΟΛΟΚΥΘΙΑ ΕΓΧΩΡΙΑ ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,14,1.75
,397161,ΜΑΡΟΥΛΙΑ ΕΓΧΩΡΙΑ ΤΕΜ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,15,0.92
,397196,ΠΑΤΑΤΕΣ ΕΙΣΑΓΩΓΗΣ ΚΥΠΡΟΥ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,17.1,1.55
,397197,ΠΑΤΑΤΑ ΕΓΧΩΡΙΑ Α',,,default.png,,,,galaxias,02-06-2026,08-06-2026,17.2,0.77
,397243,ΣΚΟΡΔΑ ΕΓΧΩΡΙΑ ΤΕΜΑΧΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,18,0.67
,397125,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ  -ΕΓΧΩΡΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,19,0.88
,397123,ΚΡΕΜΜΥΔΑΚΙΑ ΦΡΕΣΚΑ ΕΓΧΩΡΙΑ ΤΕΜ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,20,0.92
,397246,ΣΠΑΝΑΚΙΑ ΕΓΧΩΡΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,21,2.15
,397198,ΠΑΝΤΖΑΡΙΑ ΕΓΧΩΡΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,22,1.55
,397088,ΚΑΡΟΤΑ ΕΓΧΩΡΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,23,0.88
,397221,ΡΑΠΑΝΑΚΙΑ ΕΓΧΩΡΙΑ ΤΕΜΑΧΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,24,0.98
,397132,ΛΑΧΑΝΑ ΕΓΧΩΡΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,25,0.6
,397117,ΚΟΥΝΟΥΠΙΔΙΑ ΕΓΧΩΡΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,26,2.3
,80019785,ΜΠΡΟΚΟΛΟ ΠΑΓΟΥ ΕΓΧΩΡΙΟ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,27,4.5
,397207,ΠΙΠΕΡΙΕΣ ΠΡΑΣΙΝΕΣ ΕΓΧΩΡΙΕΣ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,28,2.95
,80013506,ΠΙΠΕΡΙΕΣ ΝΤΟΛΜΑ ΕΓΧΩΡΙΕΣ ΚΙΛ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,28.1,2.15
,397206,ΠΙΠΕΡΙΕΣ ΚΕΡΑΤΑ Α' ΕΓΧΩΡΙΕΣ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,28.2,2.38
,397263,ΜΕΛΙΤΖΑΝΕΣ ΦΛΑΣΚΕΣ ΕΓΧΩΡΙΕΣ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,29,2.08
,397148,ΜΑΙΝΤΑΝΟΣ ΕΓΧΩΡΙΟΣ ΤΕΜ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,30,0.7
,397015,ΑΝΙΘΑ ΕΓΧΩΡΙΑ ΤΕΜΑΧΙΟ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,31,0.8
,80023018,ΣΕΛΙΝΟ ΕΓΧΩΡΙΑ ΤΕΜΑΧΙΟ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,32,0.6
,397260,ΦΑΣΟΛΙΑ ΜΠΑΡΜΠΟΥΝΙΑ ΕΓΧΩΡΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,33,3.9
1,1044,Σταφύλια,5.99,5.99,1044.jpg,Φρούτα,Kg,,kritikos,02-06-2026,08-06-2026,,
