CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,PICE_MAX
7.1,2130052000000,ΜΗΛΑ ΓΚΟΛΝΤΕΝ,1.89,,7.1_Mila_Golden.jpg,Φρούτα,Kg,,egnatia,24-06-2025,30-06-2025,1.89
7.2,2130009000000,ΜΗΛΑ ΠΡΑΣΙΝΑ,1.99,,7.2_Mila_Granny_Smith.jpg,Φρούτα,Kg,,egnatia,24-06-2025,30-06-2025,1.99
7.3,2130006000000,ΜΗΛΑ ΣΤΑΡΚΙΝ,1.99,,7.3_Mila_Starkin_Kokkina.jpg,Φρούτα,Kg,,egnatia,24-06-2025,30-06-2025,1.99
9,5200120110015,ΜΑΝΙΤΑΡΙΑ 500ΓΡ,2.39,,9_Manitaria_Leuka_sisk_500g.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,2.39
11,2130010000000,ΤΟΜΑΤΕΣ,1.79,,11_Tomates.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,1.79
12,5200107690028,ΤΟΜΑΤΙΝΙΑ ΣΥΣΚ. 250ΓΡ,1.59,,12_Tomatinia_250g.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,1.59
13,2130028000000,ΑΓΓΟΥΡΙΑ,0.42,,13_Aggouria.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,0.42
14,2130040000000,ΚΟΛΟΚΥΘΙΑ,1.29,,14_Kolokithia.jpg,Λαχανικά,kg,,egnatia,24-06-2025,30-06-2025,1.29
15,2130037000000,ΜΑΡΟΥΛΙ ΣΓΟΥΡΟ ΤΕΜΑΧΙΟ,0.79,,15_Sgouro_Marouli_Temaxio.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,0.79
17.3,2130153000000,ΠΑΤΑΤΕΣ ΕΙΣΑΓΩΜΕΝΕΣ ΣΕ ΔΙΧΤΥ,0.79,,17.2_Patates_Egxories.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,0.79
18,3838900274224,ΣΚΟΡΔΑ ΣΕ ΔΙΧΤΥ 3ΤΕΜ,1.39,,18_Skorda_3temaxia.jpg,Λαχανικά,τμχ.,,egnatia,24-06-2025,30-06-2025,1.39
