CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,null,2,80160,Λεμόνια,1.25,1.32,Lemoni.png
25,397132,ΛΑΧΑΝΑ ΕΓΧΩΡΙΑ,0.89,0.89,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
26,397117,ΚΟΥΝΟΥΠΙΔΙΑ ΕΓΧΩΡΙΑ,1.67,1.67,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
27,80019785,ΜΠΡΟΚΟΛΟ ΠΑΓΟΥ ΕΓΧΩΡΙΟ,3.36,3.36,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
27,397186,ΜΠΡΟΚΟΛΑ ΕΓΧΩΡΙΑ,2.36,2.36,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
28,397207,ΠΙΠΕΡΙΕΣ ΠΡΑΣΙΝΕΣ ΕΓΧΩΡΙΕΣ,2.98,2.98,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
28.1,80013506,ΠΙΠΕΡΙΕΣ ΝΤΟΛΜΑ ΕΓΧΩΡΙΕΣ ΚΙΛ,2.78,2.78,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
28.2,397206,ΠΙΠΕΡΙΕΣ ΚΕΡΑΤΑ Α' ΕΓΧΩΡΙΕΣ,2.8,2.8,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
29,397263,ΜΕΛΙΤΖΑΝΕΣ ΦΛΑΣΚΕΣ ΕΓΧΩΡΙΕΣ,1.58,1.58,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
30,397148,ΜΑΙΝΤΑΝΟΣ ΕΓΧΩΡΙΟΣ ΤΕΜ,0.7,0.7,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
31,397015,ΑΝΙΘΑ ΕΓΧΩΡΙΑ ΤΕΜΑΧΙΟ,0.8,0.8,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
32,80023018,ΣΕΛΙΝΟ ΕΓΧΩΡΙΑ ΤΕΜΑΧΙΟ,0.6,0.6,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
33,397260,ΦΑΣΟΛΙΑ ΜΠΑΡΜΠΟΥΝΙΑ ΕΓΧΩΡΙΑ,4.98,5.5,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
33,397261,ΦΑΣΟΛΙΑ ΤΣΑΟΥΛΙΑ ΕΓΧΩΡΙΑ,4.6,4.6,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
1,1045,Σταφύλια (Σε επιλεγμένα καταστήματα),5.30,5.99,1045.jpg,Φρούτα,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
2,1140,Λεμόνια (Σε επιλεγμένα καταστήματα),1.45,1.69,1140.jpg,Φρούτα,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
2,1040,Λεμόνια Εισαγωγής (Σε επιλεγμένα καταστήματα),1.94,2.19,1040.jpg,Φρούτα,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
3,1000,Μπανάνες,1.50,2.29,1000.jpg,Φρούτα,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
4,1042,Πορτοκάλια ,0.85,1.29,1042.jpg,Φρούτα,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
5,790969,Μανταρίνια (Σε επιλεγμένα καταστήματα),2.99,2.99,790969.jpg,Φρούτα,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
6,1032,Αχλάδια,1.69,2.59,1032.jpg,Φρούτα,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
7,1006,Μήλα,1.65,1.99,1006.jpg,Φρούτα,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
7.1,1053,Μήλα Golden Delicious (Σε επιλεγμένα καταστήματα),1.89,2.29,1053.jpg,Φρούτα,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
7.2,1057,Μήλα Granny Smith ,1.65,1.99,1057.jpg,Φρούτα,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
8,1082,Ρόδια (Σε επιλεγμένα καταστήματα),6.59,6.59,1082.jpg,Φρούτα,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
9,1476,Μανιτάρια (Σε επιλεγμένα καταστήματα),4.98,5.98,1476.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
11,1009,Τομάτες,1.71,2.49,1009.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
12,718070,Τοματίνια,4.40,5.98,718070.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
13,1004,Αγγούρια,0.79,1.84,1004.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
14,1025,Κολοκύθια,1.66,2.69,1025.jpg,Λαχανικά,kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
